Quelle,HZBNr.,OWSEZG (m ü. A.),AC,PC,Quellgruppe,Quelltyp
Alfutzquelle,396192,1800,2,4,,verdeckte Karstquelle
Aubachquelle,395764,1250,1,2,I,Karstquelle
Auebachquelle,395467,1000,1,1,I,Hangschuttquelle
Bärenebenequelle,396325,2100,3,4,III,Hangschuttquelle
Blaue Quelle,395434,750,1,4,,Karstquelle
Brunauquelle,395335,2100,2,4,,Porengrundwasserquelle
Brunnaderquelle,395913,1070,4,4,IV,verdeckte Karstquelle
Brunnental,395137,1250,1,1,I,Karstquelle
Dachserfall,395251,1300,1,2,I,Karstquelle
Draurainquelle,395681,1050,4,4,IV,Porengrundwasserquelle
Eibachquelle,396291,2000,2,3,II,verdeckte Karstquelle
Erbsattelquelle,395970,1040,1,4,,Hangschuttquelle
Eselsquelle,395632,200,4,4,IV,Porengrundwasserquelle
Etzbachquelle,396796,1600,1,2,I,Karstquelle
Fellbachquelle,395707,2000,3,4,III,verdeckte Karstquelle
Fidelisquelle,395756,2100,2,3,II,Karstquelle
Fischa-Dagnitz Quelle,396135,1000,4,4,IV,Porengrundwasserquelle
Flathquellen,396465,2300,2,3,II,Hangschuttquelle
Florianer Brunnbach,395129,,1,4,,Porengrundwasserquelle
Friedlbrunn Quelle,395228,2000,3,4,III,Porengrundwasserquelle
Fürstenquelle,396341,2000,2,4,,Kluftquelle
Galgenwaldquelle,396788,900,1,4,,Hangschuttquelle
Gerstenbödenquelle,395731,1450,2,3,II,Karstquelle
Geyerquelle,395095,900,2,1,,Hangschuttquelle
Goldbachquelle,395749,1450,1,4,,verdeckte Karstquelle
Goldschmiedquelle,396754,510,4,4,IV,Hangschuttquelle
Gollinger Wasserfall,395210,1650,1,3,,Karstquelle
Gossenbachquelle,395384,2600,1,3,,Hangschuttquelle
Große Mühlquelle,395574,1000,1,1,I,Karstquelle
Hainschbauerquelle,396564,905,1,4,,Karstquelle
Hammerbachquelle,395855,450,3,4,III,Karstquelle
Hegnauerbründl Lindgraben,396036,,3,4,III,Kluftquelle
Heiterwandquelle,396333,1750,3,4,III,Karstquelle
Hipflquelle,396606,1800,1,4,,Karstquelle
Hirschbrunn-Seeaustritt,395053,1700,1,2,I,Karstquelle
Kaltes Bächle,396721,,2,1,,Karstquelle
Katzensteigquelle,395418,1050,2,4,,Porengrundwasserquelle
Klingelmühlquelle,395087,400,3,4,III,Porengrundwasserquelle
Kohlgrubenquellen,396432,1300,1,4,,Kluftquelle
Kressbach,395780,750,1,1,I,Porengrundwasserquelle
Kronhofquelle,396614,,1,4,,Karstquelle
Lacknerbrunnquelle,395517,1800,2,4,,Porengrundwasserquelle
Lammerquelle,395293,1550,2,3,II,Porengrundwasserquelle
Langwies/Miesbach,395145,1650,1,2,I,Karstquelle
Lappenbachquelle,395715,1800,3,4,III,Karstquelle
Lareinsonntagspleisquellen,396382,2250,2,4,,Hangschuttquelle
Lastal-Stollenquelle,395541,,1,2,I,verdeckte Karstquelle
Lehnbachquellen,395400,1800,1,4,,Karstquelle
Marbachquelle,395244,2250,2,3,II,Karstquelle
Marulbachquelle,395772,1700,1,3,,verdeckte Karstquelle
Moosbrunnquelle,395483,1650,3,4,III,Karstquelle
Mühlbachlquelle,395376,1500,2,4,,Karstquelle
Müllnernquelle,396572,900,3,4,III,verdeckte Karstquelle
Obwaldquelle,396705,2000,2,3,II,Karstquelle
Ochsenbrunnquelle,395491,2000,2,3,II,Porengrundwasserquelle
Ödensee-Kaltwassertrichter,395905,1530,1,4,,verdeckte Karstquelle
Oswaldiquelle,396523,1400,3,4,III,Karstquelle
Pfannbauernquelle,396127,1600,3,4,III,Karstquelle
Pießling Ursprung,395103,1950,1,2,I,Karstquelle
Pöllauer Ursprung,396770,1270,1,4,,Karstquelle
Preunegger Siebenquellen,395897,2070,2,4,,Porengrundwasserquelle
Pucherhäuslquelle,395285,2050,1,2,I,Karstquelle
Puffquelle,396549,1200,3,4,III,Hangschuttquelle
Pulverermühlquelle,395442,1150,1,1,I,Hangschuttquelle
Quelle Haggen,395558,1750,2,3,II,Kluftquelle
Reihbachquelle,395848,1610,3,4,III,Kluftquelle
Reithbachquelle,395590,1050,1,1,I,Karstquelle
Rettenbachquelle,395111,1800,1,2,I,Karstquelle
Riedlbachquelle,395996,1790,1,2,I,Karstquelle
Roßlochquelle,395822,1490,1,1,I,Karstquelle
Sagtümpel,395863,1680,1,2,I,Karstquelle
Sauwinkelquellen,396440,800,3,4,III,verdeckte Karstquelle
Schönebenquelle,396762,1860,1,3,,Hangschuttquelle
Schreiende Brunnen,395343,1400,2,2,,Karstquelle
Schwabeltalquelle,395939,1480,1,1,I,Karstquelle
Schwarzbach – Moosquelle,395368,1500,2,4,,Karstquelle
Schwarzbodenquelle,395426,1700,3,4,III,Karstquelle
